player.rect.x-enemy02.rect.x,player.rect.y-enemy02.rect.y,enemy02.change_x,enemy02.change_y
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-650,-30,0,0
-656,-30,6,0
-662,-30,6,0
-668,-30,6,0
-674,-30,6,0
-680,-30,6,0
-686,-30,6,0
-692,-30,6,0
-698,-30,6,0
-704,-30,6,0
-710,-30,6,0
-716,-30,6,0
-722,-30,6,0
-728,-30,6,0
-734,-30,6,0
-740,-30,6,0
-740,-30,6,0
-740,-30,6,0
-740,-30,6,0
-740,-30,6,0
-740,-30,6,0
-740,-30,6,0
-740,-30,6,0
-734,-30,0,0
-728,-30,0,0
-722,-30,0,0
-716,-30,0,0
-704,-30,-6,0
-692,-30,-6,0
-680,-30,-6,0
-668,-30,-6,0
-656,-30,-6,0
-644,-30,-6,0
-632,-30,-6,0
-620,-30,-6,0
-608,-30,-6,0
-596,-30,-6,0
-584,-30,-6,0
-572,-30,-6,0
-560,-30,-6,0
-548,-30,-6,0
-536,-30,-6,0
-524,-30,-6,0
-512,-30,-6,0
-500,-30,-6,0
-488,-30,-6,0
-476,-30,-6,0
-464,-30,-6,0
-452,-30,-6,0
-440,-30,-6,0
-428,-30,-6,0
-416,-30,-6,0
-404,-30,-6,0
-392,-30,-6,0
-380,-30,-6,0
-368,-30,-6,0
-356,-30,-6,0
-344,-30,-6,0
-332,-30,-6,0
-320,-30,-6,0
-308,-30,-6,0
-296,-30,-6,0
-284,-30,-6,0
-272,-30,-6,0
-260,-30,-6,0
-254,-30,-6,0
-248,-30,-6,0
-242,-30,-6,0
-236,-30,-6,0
-230,-30,-6,0
-224,-30,-6,0
-218,-30,-6,0
-212,-30,-6,0
-206,-30,-6,0
-200,-30,-6,0
-194,-30,-6,0
-188,-30,-6,0
-182,-30,-6,0
-176,-30,-6,0
-170,-30,-6,0
-164,-30,-6,0
-158,-30,-6,0
-152,-30,-6,0
-146,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-140,-30,-6,0
-134,-30,-6,0
-128,-40,-6,0
-122,-50,-6,0
-116,-59,-6,0
-110,-68,-6,0
-104,-77,-6,0
-98,-85,-6,0
-92,-93,-6,0
-80,-101,-6,0
-68,-108,-6,0
-56,-115,-6,0
-44,-122,-6,0
-32,-128,-6,0
-20,-134,-6,0
-8,-140,-6,0
4,-145,-6,0
16,-150,-6,0
28,-155,-6,0
40,-159,-6,0
52,-163,-6,0
64,-166,-6,0
76,-169,-6,0
88,-172,-6,0
100,-174,-6,0
112,-176,-6,0
124,-178,-6,0
136,-179,-6,0
142,-180,0,0
142,-181,6,0
142,-181,6,0
142,-181,6,0
142,-181,6,0
142,-180,6,0
142,-179,6,0
142,-178,6,0
142,-176,6,0
142,-174,6,0
142,-172,6,0
142,-169,6,0
142,-166,6,0
142,-162,6,0
142,-158,6,0
142,-154,6,0
142,-149,6,0
142,-144,6,0
142,-139,6,0
142,-133,6,0
142,-127,6,0
142,-121,6,0
142,-114,6,0
142,-107,6,0
142,-100,6,0
142,-92,6,0
142,-84,6,0
142,-76,6,0
142,-67,6,0
142,-58,6,0
142,-49,6,0
142,-39,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-30,6,0
142,-40,6,0
142,-50,6,0
142,-59,6,0
142,-68,6,0
142,-77,6,0
142,-85,6,0
142,-93,6,0
142,-101,6,0
136,-108,6,0
130,-115,6,0
124,-122,6,0
112,-128,6,0
100,-134,6,0
88,-140,6,0
76,-145,6,0
64,-150,6,0
52,-155,6,0
40,-159,6,0
28,-163,6,0
20,-166,6,0
14,-169,6,0
8,-172,6,0
-4,-174,6,0
-16,-176,6,0
-28,-178,6,0
-40,-179,6,0
-52,-180,6,0
-64,-181,6,0
-76,-181,6,0
-88,-181,6,0
-94,-171,0,-9.65
-100,-160,0,-9.3
-106,-150,0,-8.950000000000001
-112,-140,0,-8.600000000000001
-118,-129,0,-8.250000000000002
-124,-119,0,-7.900000000000002
-130,-109,0,-7.5500000000000025
-136,-99,0,-7.200000000000003
-142,-92,0,-6.850000000000003
-148,-85,0,-6.5000000000000036
-154,-78,0,-6.150000000000004
-160,-72,0,-5.800000000000004
-166,-66,0,-5.450000000000005
-172,-60,0,-5.100000000000005
-178,-55,0,-4.750000000000005
-184,-60,0,-4.400000000000006
-184,-65,-6,-4.050000000000006
-184,-70,-6,-3.700000000000006
